item,element,year,value,unit
"Chick peas, dry",Yield,1991,734.2,kg/ha
"Chick peas, dry",Production,1991,71005.0,t
Chickens,Stocks,1991,94656.0,1000 An
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Area harvested,1991,70183.0,ha
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Yield,1991,739.4,kg/ha
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Production,1991,51895.0,t
Coconut oil,Production,1991,38500.87,t
"Coconuts, in shell",Area harvested,1991,30729.0,ha
"Coconuts, in shell",Yield,1991,2470.5,kg/ha
"Coconuts, in shell",Production,1991,75915.0,t
"Coir, raw",Production,1991,9710.0,t
"Cotton lint, ginned",Production,1991,13745.0,t
Cotton seed,Production,1991,27495.0,t
Cottonseed oil,Production,1991,3937.46,t
Cucumbers and gherkins,Area harvested,1991,3549.0,ha
Cucumbers and gherkins,Yield,1991,4270.2,kg/ha
Cucumbers and gherkins,Production,1991,15155.0,t
Ducks,Stocks,1991,24000.0,1000 An
"Edible offal of buffalo, fresh, chilled or frozen",Production,1991,622.29,t
"Edible offal of buffalo, fresh, chilled or frozen",Producing Animals/Slaughtered,1991,36779.0,An
"Edible offal of cattle, fresh, chilled or frozen",Production,1991,28014.0,t
"Edible offal of cattle, fresh, chilled or frozen",Producing Animals/Slaughtered,1991,2326000.0,An
"Edible offal of goat, fresh, chilled or frozen",Production,1991,22362.57,t
"Edible offal of goat, fresh, chilled or frozen",Producing Animals/Slaughtered,1991,11176000.0,An
"Edible offal of sheep, fresh, chilled or frozen",Production,1991,260.22,t
"Edible offal of sheep, fresh, chilled or frozen",Producing Animals/Slaughtered,1991,226000.0,An
"Eggs from other birds in shell, fresh, n.e.c.",Yield,1991,75.0,No/An
"Eggs from other birds in shell, fresh, n.e.c.",Yield/Carcass Weight,1991,3499.0,g/An
"Eggs from other birds in shell, fresh, n.e.c.",Production,1991,24178.0,t
"Eggs from other birds in shell, fresh, n.e.c.",Production,1991,518175.0,1000 No
"Eggs from other birds in shell, fresh, n.e.c.",Laying,1991,6909.0,1000 An
Ghee from buffalo milk,Production,1991,373.0,t
Ghee from cow milk,Production,1991,12659.0,t
"Ginger, raw",Area harvested,1991,7017.0,ha
"Ginger, raw",Yield,1991,6082.4,kg/ha
"Ginger, raw",Production,1991,42680.0,t
"Goat fat, unrendered",Production,1991,5750.38,t
"Goat fat, unrendered",Producing Animals/Slaughtered,1991,11176000.0,An
Goats,Stocks,1991,22352000.0,An
Green garlic,Area harvested,1991,12592.0,ha
Green garlic,Yield,1991,3015.0,kg/ha
Green garlic,Production,1991,37965.0,t
Groundnut oil,Production,1991,8209.18,t
"Groundnuts, excluding shelled",Area harvested,1991,38484.0,ha
"Groundnuts, excluding shelled",Yield,1991,929.7,kg/ha
"Groundnuts, excluding shelled",Production,1991,35780.0,t
"Hen eggs in shell, fresh",Yield,1991,36.0,No/An
"Hen eggs in shell, fresh",Yield/Carcass Weight,1991,1680.0,g/An
"Hen eggs in shell, fresh",Production,1991,63598.0,t
"Hen eggs in shell, fresh",Production,1991,1363032.0,1000 No
"Hen eggs in shell, fresh",Laying,1991,37862.0,1000 An
"Jute, raw or retted",Area harvested,1991,583439.0,ha
"Jute, raw or retted",Yield,1991,1648.7,kg/ha
"Jute, raw or retted",Production,1991,961939.0,t
"Kenaf, and other textile bast fibres, raw or retted",Area harvested,1991,5000.0,ha
"Kenaf, and other textile bast fibres, raw or retted",Yield,1991,1000.0,kg/ha
"Kenaf, and other textile bast fibres, raw or retted",Production,1991,5000.0,t
Lemons and limes,Area harvested,1991,3035.0,ha
Lemons and limes,Yield,1991,2382.2,kg/ha
Lemons and limes,Production,1991,7230.0,t
"Lentils, dry",Area harvested,1991,210078.0,ha
"Lentils, dry",Yield,1991,748.7,kg/ha
"Lentils, dry",Production,1991,157280.0,t
Lettuce and chicory,Area harvested,1991,10081.0,ha
Lettuce and chicory,Yield,1991,5199.4,kg/ha
Lettuce and chicory,Production,1991,52415.0,t
Linseed,Area harvested,1991,77403.0,ha
Linseed,Yield,1991,704.6,kg/ha
Linseed,Production,1991,54540.0,t
Maize (corn),Area harvested,1991,3108.0,ha
Maize (corn),Yield,1991,978.1,kg/ha
Maize (corn),Production,1991,3040.0,t
"Mangoes, guavas and mangosteens",Area harvested,1991,48804.0,ha
"Mangoes, guavas and mangosteens",Yield,1991,3662.9,kg/ha
"Mangoes, guavas and mangosteens",Production,1991,178765.0,t
"Meat of buffalo, fresh or chilled",Yield/Carcass Weight,1991,81.0,kg/An
"Meat of buffalo, fresh or chilled",Production,1991,2987.0,t
"Meat of buffalo, fresh or chilled",Producing Animals/Slaughtered,1991,36779.0,An
"Meat of cattle with the bone, fresh or chilled",Yield/Carcass Weight,1991,60.0,kg/An
"Meat of cattle with the bone, fresh or chilled",Production,1991,140070.0,t
"Meat of cattle with the bone, fresh or chilled",Producing Animals/Slaughtered,1991,2326000.0,An
"Meat of chickens, fresh or chilled",Yield/Carcass Weight,1991,728.0,g/An
"Meat of chickens, fresh or chilled",Production,1991,68934.0,t
"Meat of chickens, fresh or chilled",Producing Animals/Slaughtered,1991,94656.0,1000 An
"Meat of ducks, fresh or chilled",Yield/Carcass Weight,1991,1000.0,g/An
"Meat of ducks, fresh or chilled",Production,1991,24000.0,t
"Meat of ducks, fresh or chilled",Producing Animals/Slaughtered,1991,24000.0,1000 An
"Meat of goat, fresh or chilled",Yield/Carcass Weight,1991,7.0,kg/An
"Meat of goat, fresh or chilled",Production,1991,78269.0,t
"Meat of goat, fresh or chilled",Producing Animals/Slaughtered,1991,11176000.0,An
"Meat of sheep, fresh or chilled",Yield/Carcass Weight,1991,7.0,kg/An
"Meat of sheep, fresh or chilled",Production,1991,1568.0,t
"Meat of sheep, fresh or chilled",Producing Animals/Slaughtered,1991,226000.0,An
Millet,Area harvested,1991,90134.0,ha
Millet,Yield,1991,733.5,kg/ha
Millet,Production,1991,66110.0,t
Molasses,Production,1991,85000.0,t
Natural rubber in primary forms,Area harvested,1991,11000.0,ha
Natural rubber in primary forms,Yield,1991,100.0,kg/ha
Natural rubber in primary forms,Production,1991,1100.0,t
Oil of linseed,Production,1991,18049.94,t
Oil of sesame seed,Production,1991,17231.32,t
"Onions and shallots, dry (excluding dehydrated)",Area harvested,1991,34762.0,ha
"Onions and shallots, dry (excluding dehydrated)",Yield,1991,4122.5,kg/ha
"Onions and shallots, dry (excluding dehydrated)",Production,1991,143305.0,t
Oranges,Area harvested,1991,433.0,ha
Oranges,Yield,1991,2378.8,kg/ha
Oranges,Production,1991,1030.0,t
"Other beans, green",Area harvested,1991,10137.0,ha
"Other beans, green",Yield,1991,4127.5,kg/ha
"Other beans, green",Production,1991,41840.0,t
Other berries and fruits of the genus vaccinium n.e.c.,Area harvested,1991,913.0,ha
Other berries and fruits of the genus vaccinium n.e.c.,Yield,1991,4452.4,kg/ha
Other berries and fruits of the genus vaccinium n.e.c.,Production,1991,4065.0,t
"Other fibre crops, raw, n.e.c.",Area harvested,1991,1928.0,ha
"Other fibre crops, raw, n.e.c.",Yield,1991,645.7,kg/ha
"Other fibre crops, raw, n.e.c.",Production,1991,1245.0,t
"Other fruits, n.e.c.",Area harvested,1991,17120.0,ha
"Other fruits, n.e.c.",Yield,1991,3735.4,kg/ha
"Other fruits, n.e.c.",Production,1991,63950.0,t
"Other meat of mammals, fresh or chilled",Production,1991,8500.0,t
"Other oil seeds, n.e.c.",Area harvested,1991,400.0,ha
"Other oil seeds, n.e.c.",Yield,1991,687.5,kg/ha
"Other oil seeds, n.e.c.",Production,1991,275.0,t
Other pulses n.e.c.,Area harvested,1991,247807.0,ha
Other pulses n.e.c.,Yield,1991,723.5,kg/ha
Other pulses n.e.c.,Production,1991,179290.0,t
"Other stimulant, spice and aromatic crops, n.e.c.",Area harvested,1991,22711.0,ha
"Other stimulant, spice and aromatic crops, n.e.c.",Yield,1991,1903.7,kg/ha
"Other stimulant, spice and aromatic crops, n.e.c.",Production,1991,43235.0,t
Other sugar crops n.e.c.,Area harvested,1991,12869.0,ha
Other sugar crops n.e.c.,Yield,1991,22476.5,kg/ha
Other sugar crops n.e.c.,Production,1991,289250.0,t
"Other tropical fruits, n.e.c.",Area harvested,1991,24914.0,ha
"Other tropical fruits, n.e.c.",Yield,1991,10221.7,kg/ha
"Other tropical fruits, n.e.c.",Production,1991,254664.0,t
"Other vegetables, fresh n.e.c.",Area harvested,1991,95910.0,ha
"Other vegetables, fresh n.e.c.",Yield,1991,6172.5,kg/ha
"Other vegetables, fresh n.e.c.",Production,1991,592000.0,t
Papayas,Area harvested,1991,4049.0,ha
Papayas,Yield,1991,7314.2,kg/ha
Papayas,Production,1991,29615.0,t
"Peas, dry",Area harvested,1991,41666.0,ha
"Peas, dry",Yield,1991,703.5,kg/ha
"Peas, dry",Production,1991,29310.0,t
"Pigeon peas, dry",Area harvested,1991,5376.0,ha
"Pigeon peas, dry",Yield,1991,542.2,kg/ha
"Pigeon peas, dry",Production,1991,2915.0,t
Pineapples,Area harvested,1991,13856.0,ha
Pineapples,Yield,1991,10829.2,kg/ha
Pineapples,Production,1991,150050.0,t
Pomelos and grapefruits,Area harvested,1991,2513.0,ha
Pomelos and grapefruits,Yield,1991,2867.1,kg/ha
Pomelos and grapefruits,Production,1991,7205.0,t
Potatoes,Area harvested,1991,123844.0,ha
Potatoes,Yield,1991,9986.8,kg/ha
Potatoes,Production,1991,1236805.0,t
"Pumpkins, squash and gourds",Area harvested,1991,19710.0,ha
"Pumpkins, squash and gourds",Yield,1991,7243.5,kg/ha
"Pumpkins, squash and gourds",Production,1991,142770.0,t
Rape or colza seed,Area harvested,1991,339127.0,ha
Rape or colza seed,Yield,1991,670.9,kg/ha
Rape or colza seed,Production,1991,227530.0,t
"Rapeseed or canola oil, crude",Production,1991,64943.03,t
Raw cane or beet sugar (centrifugal only),Production,1991,267400.0,t
Raw hides and skins of buffaloes,Yield/Carcass Weight,1991,32.0,kg/An
Raw hides and skins of buffaloes,Production,1991,1182.35,t
Raw hides and skins of buffaloes,Producing Animals/Slaughtered,1991,36779.0,An
Raw hides and skins of cattle,Yield/Carcass Weight,1991,10.0,kg/An
Raw hides and skins of cattle,Production,1991,23446.5,t
Raw hides and skins of cattle,Producing Animals/Slaughtered,1991,2326000.0,An
Raw hides and skins of goats or kids,Yield/Carcass Weight,1991,2.0,kg/An
Raw hides and skins of goats or kids,Production,1991,22362.57,t
Raw hides and skins of goats or kids,Producing Animals/Slaughtered,1991,11176000.0,An
Raw hides and skins of sheep or lambs,Yield/Carcass Weight,1991,1.0,kg/An
Raw hides and skins of sheep or lambs,Production,1991,303.59,t
Raw hides and skins of sheep or lambs,Producing Animals/Slaughtered,1991,226000.0,An
Raw milk of buffalo,Yield/Carcass Weight,1991,407.0,kg/An
Raw milk of buffalo,Production,1991,21546.0,t
Raw milk of buffalo,Milk Animals,1991,53000.0,An
Raw milk of cattle,Yield/Carcass Weight,1991,206.0,kg/An
Raw milk of cattle,Production,1991,744752.0,t
Raw milk of cattle,Milk Animals,1991,3618000.0,An
Raw milk of goats,Yield/Carcass Weight,1991,48.0,kg/An
Raw milk of goats,Production,1991,106444.78,t
Raw milk of goats,Milk Animals,1991,2200000.0,An
Raw milk of sheep,Yield/Carcass Weight,1991,88.0,kg/An
Raw milk of sheep,Production,1991,8807.58,t
Raw milk of sheep,Milk Animals,1991,100000.0,An
Rice,Area harvested,1991,10165000.0,ha
Rice,Yield,1991,2627.7,kg/ha
Rice,Production,1991,26710171.02,t
"Seed cotton, unginned",Area harvested,1991,18376.0,ha
"Seed cotton, unginned",Yield,1991,2244.2,kg/ha
"Seed cotton, unginned",Production,1991,41240.0,t
Sesame seed,Area harvested,1991,80561.0,ha
Sesame seed,Yield,1991,561.3,kg/ha
Sesame seed,Production,1991,45220.0,t
Sheep,Stocks,1991,902000.0,An
"Sheep fat, unrendered",Production,1991,106.76,t
"Sheep fat, unrendered",Producing Animals/Slaughtered,1991,226000.0,An
"Shorn wool, greasy, including fleece-washed shorn wool",Production,1991,1100.0,t
Skim milk of cows,Production,1991,247664.0,t
Sorghum,Area harvested,1991,585.0,ha
Sorghum,Yield,1991,837.6,kg/ha
Sorghum,Production,1991,490.0,t
Spinach,Area harvested,1991,3931.0,ha
Spinach,Yield,1991,4665.5,kg/ha
Spinach,Production,1991,18340.0,t
Sugar cane,Area harvested,1991,191077.0,ha
Sugar cane,Yield,1991,40203.4,kg/ha
Sugar cane,Production,1991,7681940.0,t
Sweet potatoes,Area harvested,1991,50024.0,ha
Sweet potatoes,Yield,1991,9648.1,kg/ha
Sweet potatoes,Production,1991,482635.0,t
"Tangerines, mandarins, clementines",Area harvested,1991,2541.0,ha
"Tangerines, mandarins, clementines",Yield,1991,3268.4,kg/ha
"Tangerines, mandarins, clementines",Production,1991,8305.0,t
Tea leaves,Area harvested,1991,47629.0,ha
Tea leaves,Yield,1991,4115.1,kg/ha
Tea leaves,Production,1991,196000.0,t
Tomatoes,Area harvested,1991,11711.0,ha
Tomatoes,Yield,1991,7628.3,kg/ha
Tomatoes,Production,1991,89335.0,t
Unmanufactured tobacco,Area harvested,1991,38019.0,ha
Unmanufactured tobacco,Yield,1991,888.4,kg/ha
Unmanufactured tobacco,Production,1991,33775.0,t
Wheat,Area harvested,1991,598955.0,ha
Wheat,Yield,1991,1676.7,kg/ha
Wheat,Production,1991,1004290.0,t
"Beef and Buffalo Meat, primary",Yield/Carcass Weight,1991,61.0,kg/An
"Beef and Buffalo Meat, primary",Production,1991,143057.0,t
"Beef and Buffalo Meat, primary",Producing Animals/Slaughtered,1991,2362779.0,An
Butter and Ghee,Production,1991,13592.0,t
Cattle and Buffaloes,Stocks,1991,24066008.0,An
"Cereals, primary",Area harvested,1991,10875400.0,ha
"Cereals, primary",Yield,1991,2555.8,kg/ha
"Cereals, primary",Production,1991,27794901.02,t
Cheese (All Kinds),Production,1991,971.0,t
"Citrus Fruit, Total",Area harvested,1991,8522.0,ha
"Citrus Fruit, Total",Yield,1991,2789.3,kg/ha
"Citrus Fruit, Total",Production,1991,23770.0,t
Eggs Primary,Yield/Carcass Weight,1991,1961.0,g/An
Eggs Primary,Production,1991,87776.0,t
Eggs Primary,Laying,1991,44771.0,1000 An
"Fibre Crops, Fibre Equivalent",Area harvested,1991,608743.0,ha
"Fibre Crops, Fibre Equivalent",Yield,1991,1614.2,kg/ha
"Fibre Crops, Fibre Equivalent",Production,1991,982618.0,t
Fruit Primary,Area harvested,1991,169253.0,ha
Fruit Primary,Yield,1991,8531.3,kg/ha
Fruit Primary,Production,1991,1443954.0,t
"Meat, Poultry",Yield/Carcass Weight,1991,783.0,g/An
"Meat, Poultry",Production,1991,92934.0,t
"Meat, Poultry",Producing Animals/Slaughtered,1991,118656.0,1000 An
"Meat, Total",Production,1991,324328.0,t
"Milk, Total",Yield/Carcass Weight,1991,148.0,kg/An
"Milk, Total",Production,1991,881550.36,t
"Milk, Total",Milk Animals,1991,5971000.0,An
"Oilcrops, Cake Equivalent",Area harvested,1991,585080.0,ha
"Oilcrops, Cake Equivalent",Yield,1991,388.0,kg/ha
"Oilcrops, Cake Equivalent",Production,1991,227025.41,t
"Oilcrops, Oil Equivalent",Area harvested,1991,585359.0,ha
"Oilcrops, Oil Equivalent",Yield,1991,256.1,kg/ha
"Oilcrops, Oil Equivalent",Production,1991,149909.44,t
Poultry Birds,Stocks,1991,118656.0,1000 An
"Pulses, Total",Area harvested,1991,725368.0,ha
"Pulses, Total",Yield,1991,720.1,kg/ha
"Pulses, Total",Production,1991,522315.0,t
"Roots and Tubers, Total",Area harvested,1991,173868.0,ha
"Roots and Tubers, Total",Yield,1991,9889.3,kg/ha
"Roots and Tubers, Total",Production,1991,1719440.0,t
Sheep and Goat Meat,Yield/Carcass Weight,1991,7.0,kg/An
Sheep and Goat Meat,Production,1991,79837.0,t
Sheep and Goat Meat,Producing Animals/Slaughtered,1991,11402000.0,An
Sheep and Goats,Stocks,1991,23254000.0,An
Sugar Crops Primary,Area harvested,1991,203946.0,ha
Sugar Crops Primary,Yield,1991,39084.8,kg/ha
Sugar Crops Primary,Production,1991,7971190.0,t
Vegetables Primary,Area harvested,1991,218949.0,ha
Vegetables Primary,Yield,1991,5804.3,kg/ha
Vegetables Primary,Production,1991,1270840.0,t
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Production,1992,0.0,t
Areca nuts,Area harvested,1992,35916.0,ha
Areca nuts,Yield,1992,675.5,kg/ha
Areca nuts,Production,1992,24260.0,t
Bananas,Area harvested,1992,38875.0,ha
Bananas,Yield,1992,16363.0,kg/ha
Bananas,Production,1992,636110.0,t
Barley,Area harvested,1992,16060.0,ha
Barley,Yield,1992,635.1,kg/ha
Barley,Production,1992,10200.0,t
"Beans, dry",Area harvested,1992,121000.0,ha
"Beans, dry",Yield,1992,686.0,kg/ha
"Beans, dry",Production,1992,83000.0,t
Buffalo,Stocks,1992,832000.0,An
"Buffalo fat, unrendered",Production,1992,150.31,t
"Buffalo fat, unrendered",Producing Animals/Slaughtered,1992,37186.0,An
Butter of cow milk,Production,1992,580.0,t
Cabbages,Area harvested,1992,8466.0,ha
Cabbages,Yield,1992,8394.8,kg/ha
Cabbages,Production,1992,71070.0,t
Cantaloupes and other melons,Area harvested,1992,12033.0,ha
Cantaloupes and other melons,Yield,1992,9161.9,kg/ha
Cantaloupes and other melons,Production,1992,110245.0,t
Castor oil seeds,Area harvested,1992,308.0,ha
Castor oil seeds,Yield,1992,600.6,kg/ha
Castor oil seeds,Production,1992,185.0,t
Cattle,Stocks,1992,23480000.0,An
"Cattle fat, unrendered",Production,1992,4610.12,t
"Cattle fat, unrendered",Producing Animals/Slaughtered,1992,2348000.0,An
Cauliflowers and broccoli,Area harvested,1992,8596.0,ha
Cauliflowers and broccoli,Yield,1992,7864.1,kg/ha
Cauliflowers and broccoli,Production,1992,67600.0,t
Cheese from whole cow milk,Production,1992,966.0,t
"Chick peas, dry",Area harvested,1992,92145.0,ha
"Chick peas, dry",Yield,1992,701.9,kg/ha
"Chick peas, dry",Production,1992,64680.0,t
Chickens,Stocks,1992,100563.0,1000 An
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Area harvested,1992,67265.0,ha
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Yield,1992,754.0,kg/ha
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Production,1992,50715.0,t
Coconut oil,Production,1992,41284.89,t
"Coconuts, in shell",Area harvested,1992,30727.0,ha
"Coconuts, in shell",Yield,1992,2656.9,kg/ha
"Coconuts, in shell",Production,1992,81640.0,t
"Coir, raw",Production,1992,10441.0,t
"Cotton lint, ginned",Production,1992,15579.0,t
Cotton seed,Production,1992,31163.0,t
Cottonseed oil,Production,1992,4415.23,t
Cucumbers and gherkins,Area harvested,1992,3539.0,ha
Cucumbers and gherkins,Yield,1992,4280.9,kg/ha
Cucumbers and gherkins,Production,1992,15150.0,t
Ducks,Stocks,1992,25000.0,1000 An
"Edible offal of buffalo, fresh, chilled or frozen",Production,1992,653.54,t
"Edible offal of buffalo, fresh, chilled or frozen",Producing Animals/Slaughtered,1992,37186.0,An
"Edible offal of cattle, fresh, chilled or frozen",Production,1992,28275.4,t
"Edible offal of cattle, fresh, chilled or frozen",Producing Animals/Slaughtered,1992,2348000.0,An
"Edible offal of goat, fresh, chilled or frozen",Production,1992,23984.29,t
"Edible offal of goat, fresh, chilled or frozen",Producing Animals/Slaughtered,1992,11990000.0,An
"Edible offal of sheep, fresh, chilled or frozen",Production,1992,272.67,t
"Edible offal of sheep, fresh, chilled or frozen",Producing Animals/Slaughtered,1992,235000.0,An
"Eggs from other birds in shell, fresh, n.e.c.",Yield,1992,75.0,No/An
"Eggs from other birds in shell, fresh, n.e.c.",Yield/Carcass Weight,1992,3499.0,g/An
"Eggs from other birds in shell, fresh, n.e.c.",Production,1992,24444.0,t
"Eggs from other birds in shell, fresh, n.e.c.",Production,1992,523875.0,1000 No
"Eggs from other birds in shell, fresh, n.e.c.",Laying,1992,6985.0,1000 An
Ghee from buffalo milk,Production,1992,379.0,t
Ghee from cow milk,Production,1992,12786.0,t
"Ginger, raw",Area harvested,1992,7056.0,ha
"Ginger, raw",Yield,1992,5886.5,kg/ha
"Ginger, raw",Production,1992,41535.0,t
"Goat fat, unrendered",Production,1992,6167.39,t
"Goat fat, unrendered",Producing Animals/Slaughtered,1992,11990000.0,An
Goats,Stocks,1992,23979008.0,An
Green garlic,Area harvested,1992,12737.0,ha
Green garlic,Yield,1992,3134.6,kg/ha
Green garlic,Production,1992,39925.0,t
Groundnut oil,Production,1992,10149.85,t
"Groundnuts, excluding shelled",Area harvested,1992,39008.0,ha
"Groundnuts, excluding shelled",Yield,1992,1091.6,kg/ha
"Groundnuts, excluding shelled",Production,1992,42583.0,t
"Hen eggs in shell, fresh",Yield,1992,36.0,No/An
"Hen eggs in shell, fresh",Yield/Carcass Weight,1992,1680.0,g/An
"Hen eggs in shell, fresh",Production,1992,67509.0,t
"Hen eggs in shell, fresh",Production,1992,1446850.0,1000 No
"Hen eggs in shell, fresh",Laying,1992,40190.0,1000 An
"Jute, raw or retted",Area harvested,1992,588097.0,ha
"Jute, raw or retted",Yield,1992,1626.9,kg/ha
"Jute, raw or retted",Production,1992,956751.0,t
"Kenaf, and other textile bast fibres, raw or retted",Area harvested,1992,1000.0,ha
"Kenaf, and other textile bast fibres, raw or retted",Yield,1992,1000.0,kg/ha
"Kenaf, and other textile bast fibres, raw or retted",Production,1992,1000.0,t
Lemons and limes,Area harvested,1992,3165.0,ha
Lemons and limes,Yield,1992,2595.6,kg/ha
Lemons and limes,Production,1992,8215.0,t
"Lentils, dry",Area harvested,1992,208915.0,ha
"Lentils, dry",Yield,1992,731.5,kg/ha
"Lentils, dry",Production,1992,152820.0,t
Lettuce and chicory,Area harvested,1992,10100.0,ha
Lettuce and chicory,Yield,1992,5247.5,kg/ha
Lettuce and chicory,Production,1992,53000.0,t
Linseed,Area harvested,1992,75118.0,ha
Linseed,Yield,1992,658.7,kg/ha
Linseed,Production,1992,49480.0,t
Maize (corn),Area harvested,1992,2924.0,ha
Maize (corn),Yield,1992,931.9,kg/ha
Maize (corn),Production,1992,2725.0,t
"Mangoes, guavas and mangosteens",Area harvested,1992,49060.0,ha
"Mangoes, guavas and mangosteens",Yield,1992,3736.5,kg/ha
"Mangoes, guavas and mangosteens",Production,1992,183315.0,t
"Meat of buffalo, fresh or chilled",Yield/Carcass Weight,1992,84.0,kg/An
"Meat of buffalo, fresh or chilled",Production,1992,3137.0,t
"Meat of buffalo, fresh or chilled",Producing Animals/Slaughtered,1992,37186.0,An
"Meat of cattle with the bone, fresh or chilled",Yield/Carcass Weight,1992,60.0,kg/An
"Meat of cattle with the bone, fresh or chilled",Production,1992,141377.0,t
"Meat of cattle with the bone, fresh or chilled",Producing Animals/Slaughtered,1992,2348000.0,An
"Meat of chickens, fresh or chilled",Yield/Carcass Weight,1992,728.0,g/An
"Meat of chickens, fresh or chilled",Production,1992,73228.0,t
"Meat of chickens, fresh or chilled",Producing Animals/Slaughtered,1992,100563.0,1000 An
"Meat of ducks, fresh or chilled",Yield/Carcass Weight,1992,1000.0,g/An
"Meat of ducks, fresh or chilled",Production,1992,25000.0,t
"Meat of ducks, fresh or chilled",Producing Animals/Slaughtered,1992,25000.0,1000 An
"Meat of goat, fresh or chilled",Yield/Carcass Weight,1992,7.0,kg/An
"Meat of goat, fresh or chilled",Production,1992,83945.0,t
"Meat of goat, fresh or chilled",Producing Animals/Slaughtered,1992,11990000.0,An
"Meat of sheep, fresh or chilled",Yield/Carcass Weight,1992,7.0,kg/An
"Meat of sheep, fresh or chilled",Production,1992,1643.0,t
"Meat of sheep, fresh or chilled",Producing Animals/Slaughtered,1992,235000.0,An
Millet,Area harvested,1992,88120.0,ha
Millet,Yield,1992,742.3,kg/ha
Millet,Production,1992,65410.0,t
Molasses,Production,1992,85000.0,t
Natural rubber in primary forms,Area harvested,1992,14500.0,ha
Natural rubber in primary forms,Yield,1992,103.4,kg/ha
Natural rubber in primary forms,Production,1992,1500.0,t
Oil of linseed,Production,1992,16316.55,t
Oil of sesame seed,Production,1992,18994.1,t
"Onions and shallots, dry (excluding dehydrated)",Area harvested,1992,34430.0,ha
"Onions and shallots, dry (excluding dehydrated)",Yield,1992,4183.6,kg/ha
"Onions and shallots, dry (excluding dehydrated)",Production,1992,144040.0,t
Oranges,Area harvested,1992,263.0,ha
Oranges,Yield,1992,2509.5,kg/ha
Oranges,Production,1992,660.0,t
"Other beans, green",Area harvested,1992,10722.0,ha
"Other beans, green",Yield,1992,4008.6,kg/ha
"Other beans, green",Production,1992,42980.0,t
Other berries and fruits of the genus vaccinium n.e.c.,Area harvested,1992,963.0,ha
Other berries and fruits of the genus vaccinium n.e.c.,Yield,1992,4086.2,kg/ha
Other berries and fruits of the genus vaccinium n.e.c.,Production,1992,3935.0,t
"Other fibre crops, raw, n.e.c.",Area harvested,1992,1944.0,ha
"Other fibre crops, raw, n.e.c.",Yield,1992,656.4,kg/ha
"Other fibre crops, raw, n.e.c.",Production,1992,1276.0,t
"Other fruits, n.e.c.",Area harvested,1992,17713.0,ha
"Other fruits, n.e.c.",Yield,1992,3689.7,kg/ha
"Other fruits, n.e.c.",Production,1992,65355.0,t
"Other meat of mammals, fresh or chilled",Production,1992,8817.26,t
"Other oil seeds, n.e.c.",Area harvested,1992,407.0,ha
"Other oil seeds, n.e.c.",Yield,1992,688.0,kg/ha
"Other oil seeds, n.e.c.",Production,1992,280.0,t
Other pulses n.e.c.,Area harvested,1992,250077.0,ha
Other pulses n.e.c.,Yield,1992,749.9,kg/ha
Other pulses n.e.c.,Production,1992,187530.0,t
"Other stimulant, spice and aromatic crops, n.e.c.",Area harvested,1992,22689.0,ha
"Other stimulant, spice and aromatic crops, n.e.c.",Yield,1992,2007.8,kg/ha
"Other stimulant, spice and aromatic crops, n.e.c.",Production,1992,45555.0,t
Other sugar crops n.e.c.,Area harvested,1992,13061.0,ha
Other sugar crops n.e.c.,Yield,1992,22202.0,kg/ha
Other sugar crops n.e.c.,Production,1992,289980.0,t
"Other tropical fruits, n.e.c.",Area harvested,1992,25230.0,ha
"Other tropical fruits, n.e.c.",Yield,1992,10200.6,kg/ha
"Other tropical fruits, n.e.c.",Production,1992,257360.0,t
"Other vegetables, fresh n.e.c.",Area harvested,1992,95911.0,ha
"Other vegetables, fresh n.e.c.",Yield,1992,6203.7,kg/ha
"Other vegetables, fresh n.e.c.",Production,1992,595000.0,t
Papayas,Area harvested,1992,4322.0,ha
Papayas,Yield,1992,7328.6,kg/ha
Papayas,Production,1992,31674.0,t
"Peas, dry",Area harvested,1992,40914.0,ha
"Peas, dry",Yield,1992,700.9,kg/ha
"Peas, dry",Production,1992,28675.0,t
"Pigeon peas, dry",Area harvested,1992,5803.0,ha
"Pigeon peas, dry",Yield,1992,505.8,kg/ha
"Pigeon peas, dry",Production,1992,2935.0,t
Pineapples,Area harvested,1992,13925.0,ha
Pineapples,Yield,1992,10638.4,kg/ha
Pineapples,Production,1992,148140.0,t
Pomelos and grapefruits,Area harvested,1992,2687.0,ha
Pomelos and grapefruits,Yield,1992,2910.3,kg/ha
Pomelos and grapefruits,Production,1992,7820.0,t
Potatoes,Area harvested,1992,127796.0,ha
Potatoes,Yield,1992,10793.1,kg/ha
Potatoes,Production,1992,1379320.0,t
"Pumpkins, squash and gourds",Area harvested,1992,20226.0,ha
"Pumpkins, squash and gourds",Yield,1992,7378.9,kg/ha
"Pumpkins, squash and gourds",Production,1992,149245.0,t
Rape or colza seed,Area harvested,1992,339764.0,ha
Rape or colza seed,Yield,1992,715.3,kg/ha
