item,element,year,value,unit
"Onions and shallots, dry (excluding dehydrated)",Production,1961,136500.0,t
Oranges,Area harvested,1961,1250.0,ha
Oranges,Yield,1961,4000.0,kg/ha
Oranges,Production,1961,5000.0,t
"Other beans, green",Area harvested,1961,4266.0,ha
"Other beans, green",Yield,1961,3684.7,kg/ha
"Other beans, green",Production,1961,15719.0,t
Other berries and fruits of the genus vaccinium n.e.c.,Area harvested,1961,500.0,ha
Other berries and fruits of the genus vaccinium n.e.c.,Yield,1961,4000.0,kg/ha
Other berries and fruits of the genus vaccinium n.e.c.,Production,1961,2000.0,t
"Other fibre crops, raw, n.e.c.",Area harvested,1961,2400.0,ha
"Other fibre crops, raw, n.e.c.",Yield,1961,916.7,kg/ha
"Other fibre crops, raw, n.e.c.",Production,1961,2200.0,t
"Other fruits, n.e.c.",Area harvested,1961,9000.0,ha
"Other fruits, n.e.c.",Yield,1961,6666.7,kg/ha
"Other fruits, n.e.c.",Production,1961,60000.0,t
"Other meat of mammals, fresh or chilled",Production,1961,3000.0,t
"Other oil seeds, n.e.c.",Area harvested,1961,5261.0,ha
"Other oil seeds, n.e.c.",Yield,1961,193.1,kg/ha
"Other oil seeds, n.e.c.",Production,1961,1016.0,t
Other pulses n.e.c.,Area harvested,1961,129501.0,ha
Other pulses n.e.c.,Yield,1961,737.5,kg/ha
Other pulses n.e.c.,Production,1961,95504.0,t
"Other stimulant, spice and aromatic crops, n.e.c.",Area harvested,1961,37600.0,ha
"Other stimulant, spice and aromatic crops, n.e.c.",Yield,1961,3106.4,kg/ha
"Other stimulant, spice and aromatic crops, n.e.c.",Production,1961,116800.0,t
Other sugar crops n.e.c.,Area harvested,1961,9200.0,ha
Other sugar crops n.e.c.,Yield,1961,36956.5,kg/ha
Other sugar crops n.e.c.,Production,1961,340000.0,t
"Other tropical fruits, n.e.c.",Area harvested,1961,13000.0,ha
"Other tropical fruits, n.e.c.",Yield,1961,9230.8,kg/ha
"Other tropical fruits, n.e.c.",Production,1961,120000.0,t
"Other vegetables, fresh n.e.c.",Area harvested,1961,74138.0,ha
"Other vegetables, fresh n.e.c.",Yield,1961,4884.5,kg/ha
"Other vegetables, fresh n.e.c.",Production,1961,362128.0,t
Papayas,Area harvested,1961,1700.0,ha
Papayas,Yield,1961,8823.5,kg/ha
Papayas,Production,1961,15000.0,t
"Peas, dry",Area harvested,1961,38000.0,ha
"Peas, dry",Yield,1961,657.9,kg/ha
"Peas, dry",Production,1961,25000.0,t
"Pigeon peas, dry",Area harvested,1961,5666.0,ha
"Pigeon peas, dry",Yield,1961,717.3,kg/ha
"Pigeon peas, dry",Production,1961,4064.0,t
Pineapples,Area harvested,1961,3600.0,ha
Pineapples,Yield,1961,5362.5,kg/ha
Pineapples,Production,1961,19305.0,t
Pomelos and grapefruits,Area harvested,1961,500.0,ha
Pomelos and grapefruits,Yield,1961,4000.0,kg/ha
Pomelos and grapefruits,Production,1961,2000.0,t
Potatoes,Area harvested,1961,55847.0,ha
Potatoes,Yield,1961,6149.1,kg/ha
Potatoes,Production,1961,343408.0,t
"Pumpkins, squash and gourds",Area harvested,1961,15104.0,ha
"Pumpkins, squash and gourds",Yield,1961,5550.7,kg/ha
"Pumpkins, squash and gourds",Production,1961,83838.0,t
Rape or colza seed,Area harvested,1961,225817.0,ha
Rape or colza seed,Yield,1961,436.4,kg/ha
Rape or colza seed,Production,1961,98552.0,t
"Rapeseed or canola oil, crude",Production,1961,55586.74,t
Raw cane or beet sugar (centrifugal only),Production,1961,59800.0,t
Raw hides and skins of buffaloes,Yield/Carcass Weight,1961,30.0,kg/An
Raw hides and skins of buffaloes,Production,1961,752.08,t
Raw hides and skins of buffaloes,Producing Animals/Slaughtered,1961,25000.0,An
Raw hides and skins of cattle,Yield/Carcass Weight,1961,9.0,kg/An
Raw hides and skins of cattle,Production,1961,19735.43,t
Raw hides and skins of cattle,Producing Animals/Slaughtered,1961,2105000.0,An
Raw hides and skins of goats or kids,Yield/Carcass Weight,1961,2.0,kg/An
Raw hides and skins of goats or kids,Production,1961,7600.0,t
Raw hides and skins of goats or kids,Producing Animals/Slaughtered,1961,3800000.0,An
Raw hides and skins of sheep or lambs,Yield/Carcass Weight,1961,1.0,kg/An
Raw hides and skins of sheep or lambs,Production,1961,174.26,t
Raw hides and skins of sheep or lambs,Producing Animals/Slaughtered,1961,150000.0,An
Raw milk of buffalo,Yield/Carcass Weight,1961,400.0,kg/An
Raw milk of buffalo,Production,1961,16000.0,t
Raw milk of buffalo,Milk Animals,1961,40000.0,An
Raw milk of cattle,Yield/Carcass Weight,1961,250.0,kg/An
Raw milk of cattle,Production,1961,592500.0,t
Raw milk of cattle,Milk Animals,1961,2370000.0,An
Raw milk of goats,Yield/Carcass Weight,1961,80.0,kg/An
Raw milk of goats,Production,1961,291840.0,t
Raw milk of goats,Milk Animals,1961,3648000.0,An
Raw milk of sheep,Yield/Carcass Weight,1961,70.0,kg/An
Raw milk of sheep,Production,1961,15120.0,t
Raw milk of sheep,Milk Animals,1961,216000.0,An
Rice,Area harvested,1961,8483516.0,ha
Rice,Yield,1961,1700.5,kg/ha
Rice,Production,1961,14426184.0,t
"Seed cotton, unginned",Area harvested,1961,15783.0,ha
"Seed cotton, unginned",Yield,1961,579.4,kg/ha
"Seed cotton, unginned",Production,1961,9144.0,t
Sesame seed,Area harvested,1961,57466.0,ha
Sesame seed,Yield,1961,459.7,kg/ha
Sesame seed,Production,1961,26416.0,t
Sheep,Stocks,1961,600000.0,An
"Sheep fat, unrendered",Production,1961,61.28,t
"Sheep fat, unrendered",Producing Animals/Slaughtered,1961,150000.0,An
"Shorn wool, greasy, including fleece-washed shorn wool",Production,1961,700.0,t
Skim milk of cows,Production,1961,214268.0,t
Sorghum,Area harvested,1961,809.0,ha
Sorghum,Yield,1961,1255.9,kg/ha
Sorghum,Production,1961,1016.0,t
Spinach,Area harvested,1961,1350.0,ha
Spinach,Yield,1961,4592.6,kg/ha
Spinach,Production,1961,6200.0,t
Sugar cane,Area harvested,1961,112908.0,ha
Sugar cane,Yield,1961,35589.0,kg/ha
Sugar cane,Production,1961,4018280.0,t
Sweet potatoes,Area harvested,1961,37000.0,ha
Sweet potatoes,Yield,1961,8918.9,kg/ha
Sweet potatoes,Production,1961,330000.0,t
"Tangerines, mandarins, clementines",Area harvested,1961,2500.0,ha
"Tangerines, mandarins, clementines",Yield,1961,4000.0,kg/ha
