crop,group,l_ini,l_dev,l_mid,l_late,total_days,plant_date,region,frac_ini,frac_dev,frac_mid,frac_late,source
Onion (green),Small Vegetables,30.0,55.0,55.0,40.0,180.0,March,"Calif., USA",0.167,0.306,0.306,0.222,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Onion (seed),Small Vegetables,20.0,45.0,165.0,45.0,275.0,Sept,"Calif. Desert, USA",0.073,0.164,0.6,0.164,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Spinach,Small Vegetables,20.0,20.0,15.0,5.0,60.0,Apr; Sep/Oct,Mediterranean,0.333,0.333,0.25,0.083,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Spinach,Small Vegetables,20.0,30.0,40.0,10.0,100.0,November,Arid Region,0.2,0.3,0.4,0.1,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Radish,Small Vegetables,5.0,10.0,15.0,5.0,35.0,Mar/Apr,Medit.; Europe,0.143,0.286,0.429,0.143,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Radish,Small Vegetables,10.0,10.0,15.0,5.0,40.0,Winter,Arid Region,0.25,0.25,0.375,0.125,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Egg plant,Vegetables - Solanum Family (Solanaceae),30.0,40.0,40.0,20.0,130.0,October,Arid Region,0.231,0.308,0.308,0.154,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Egg plant,Vegetables - Solanum Family (Solanaceae),30.0,45.0,40.0,25.0,140.0,May/June,Mediterranean,0.214,0.321,0.286,0.179,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sweet peppers (bell),Vegetables - Solanum Family (Solanaceae),25.0,35.0,40.0,20.0,120.0,April/June,Europe and Medit.,0.208,0.292,0.333,0.167,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sweet peppers (bell),Vegetables - Solanum Family (Solanaceae),30.0,40.0,110.0,30.0,210.0,October,Arid Region,0.143,0.19,0.524,0.143,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Tomato,Vegetables - Solanum Family (Solanaceae),30.0,40.0,40.0,25.0,135.0,January,Arid Region,0.222,0.296,0.296,0.185,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Tomato,Vegetables - Solanum Family (Solanaceae),35.0,40.0,50.0,30.0,155.0,Apr/May,"Calif., USA",0.226,0.258,0.323,0.194,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Tomato,Vegetables - Solanum Family (Solanaceae),25.0,40.0,60.0,30.0,155.0,Jan,"Calif. Desert, USA",0.161,0.258,0.387,0.194,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Tomato,Vegetables - Solanum Family (Solanaceae),35.0,45.0,70.0,30.0,180.0,Oct/Nov,Arid Region,0.194,0.25,0.389,0.167,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Tomato,Vegetables - Solanum Family (Solanaceae),30.0,40.0,45.0,30.0,145.0,April/May,Mediterranean,0.207,0.276,0.31,0.207,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Cantaloupe,Vegetables - Cucumber Family (Cucurbitaceae),30.0,45.0,35.0,10.0,120.0,Jan,"Calif., USA",0.25,0.375,0.292,0.083,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Cantaloupe,Vegetables - Cucumber Family (Cucurbitaceae),10.0,60.0,25.0,25.0,120.0,Aug,"Calif., USA",0.083,0.5,0.208,0.208,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Cucumber,Vegetables - Cucumber Family (Cucurbitaceae),20.0,30.0,40.0,15.0,105.0,June/Aug,Arid Region,0.19,0.286,0.381,0.143,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Cucumber,Vegetables - Cucumber Family (Cucurbitaceae),25.0,35.0,50.0,20.0,130.0,Nov; Feb,Arid Region,0.192,0.269,0.385,0.154,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
"Pumpkin, Winter squash",Vegetables - Cucumber Family (Cucurbitaceae),20.0,30.0,30.0,20.0,100.0,"Mar, Aug",Mediterranean,0.2,0.3,0.3,0.2,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
"Pumpkin, Winter squash",Vegetables - Cucumber Family (Cucurbitaceae),25.0,35.0,35.0,25.0,120.0,June,Europe,0.208,0.292,0.292,0.208,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
"Squash, Zucchini",Vegetables - Cucumber Family (Cucurbitaceae),25.0,35.0,25.0,15.0,100.0,Apr; Dec.,Medit.; Arid Reg.,0.25,0.35,0.25,0.15,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
"Squash, Zucchini",Vegetables - Cucumber Family (Cucurbitaceae),20.0,30.0,25.0,15.0,90.0,May/June,Medit.; Europe,0.222,0.333,0.278,0.167,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sweet melons,Vegetables - Cucumber Family (Cucurbitaceae),25.0,35.0,40.0,20.0,120.0,May,Mediterranean,0.208,0.292,0.333,0.167,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sweet melons,Vegetables - Cucumber Family (Cucurbitaceae),30.0,30.0,50.0,30.0,140.0,March,"Calif., USA",0.214,0.214,0.357,0.214,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sweet melons,Vegetables - Cucumber Family (Cucurbitaceae),15.0,40.0,65.0,15.0,135.0,Aug,"Calif. Desert, USA",0.111,0.296,0.481,0.111,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sweet melons,Vegetables - Cucumber Family (Cucurbitaceae),30.0,45.0,65.0,20.0,160.0,Dec/Jan,Arid Region,0.188,0.281,0.406,0.125,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Water melons,Vegetables - Cucumber Family (Cucurbitaceae),20.0,30.0,30.0,30.0,110.0,April,Italy,0.182,0.273,0.273,0.273,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Water melons,Vegetables - Cucumber Family (Cucurbitaceae),10.0,20.0,20.0,30.0,80.0,Mat/Aug,Near East (desert),0.125,0.25,0.25,0.375,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
"Beets, table",Roots and Tubers,15.0,25.0,20.0,10.0,70.0,Apr/May,Mediterranean,0.214,0.357,0.286,0.143,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
"Beets, table",Roots and Tubers,25.0,30.0,25.0,10.0,90.0,Feb/Mar,Mediterranean & Arid,0.278,0.333,0.278,0.111,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Cassava: year 1,Roots and Tubers,20.0,40.0,90.0,60.0,210.0,Rainy,Tropical regions,0.095,0.19,0.429,0.286,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
year 2,Roots and Tubers,150.0,40.0,110.0,60.0,360.0,season,,0.417,0.111,0.306,0.167,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Potato,Roots and Tubers,25.0,30.0,30.0,30.0,115.0,Jan/Nov,(Semi) Arid Climate,0.217,0.261,0.261,0.261,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Potato,Roots and Tubers,25.0,30.0,45.0,30.0,130.0,May,Continental Climate,0.192,0.231,0.346,0.231,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Potato,Roots and Tubers,30.0,35.0,50.0,30.0,145.0,April,Europe,0.207,0.241,0.345,0.207,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Potato,Roots and Tubers,45.0,30.0,70.0,20.0,165.0,Apr/May,"Idaho, USA",0.273,0.182,0.424,0.121,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Potato,Roots and Tubers,30.0,35.0,50.0,25.0,140.0,Dec,"Calif. Desert, USA",0.214,0.25,0.357,0.179,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
