site_id,name,district,lat,lon,shape_id
ADM3_Damurhuda,Damurhuda,,23.5931,88.7404,5055444B42162342633446
ADM3_DarusSalam,Darus Salam,,23.7841,90.3452,5055444B58026692506241
ADM3_Dashmina,Dashmina,,22.2802,90.5379,5055444B84377812112263
ADM3_Daudkandi,Daudkandi,,23.5027,90.7731,5055444B33374130329407
ADM3_Daulatkhan,Daulatkhan,,22.5959,90.702,5055444B15230519967712
ADM3_Daulatpur_839920,Daulatpur,,23.9558,89.7977,5055444B23473824839920
ADM3_Daulatpur_050002,Daulatpur,,22.8753,89.5092,5055444B46757628050002
ADM3_Daulatpur_326946,Daulatpur,,24.0272,88.8392,5055444B53912976326946
ADM3_Debhata,Debhata,,22.5972,89.0153,5055444B7317208084306
ADM3_Debidwar,Debidwar,,23.5783,90.9979,5055444B86934116157766
ADM3_Debiganj,Debiganj,,26.1321,88.7194,5055444B68978005941657
ADM3_Delduar,Delduar,,24.142,89.9377,5055444B15353027914244
ADM3_Demra,Demra,,23.7245,90.481,5055444B14528909504793
ADM3_Derai,Derai,,24.7875,91.336,5055444B19243019661723
ADM3_Dewanganj,Dewanganj,,25.2636,89.7659,5055444B37852279213101
ADM3_Dhamoirhat,Dhamoirhat,,25.1304,88.823,5055444B49062995436606
ADM3_Dhamrai,Dhamrai,,23.9371,90.1414,5055444B39396107660312
ADM3_Dhanbari,Dhanbari,,24.6867,89.9333,5055444B25808786190602
ADM3_Dhanmondi,Dhanmondi,,23.7452,90.3734,5055444B44526348177341
ADM3_Dharampasha,Dharampasha,,25.0107,91.0407,5055444B99906709627914
ADM3_Dhobaura,Dhobaura,,25.1012,90.5249,5055444B86250199527476
ADM3_Dhunat,Dhunat,,24.6825,89.5503,5055444B75599042311563
ADM3_Dhupchanchia,Dhupchanchia,,24.8837,89.1392,5055444B62446820117735
ADM3_Dighalia,Dighalia,,22.9252,89.5601,5055444B20721684317964
ADM3_Dighinala,Dighinala,,23.3994,92.0498,5055444B92856865175572
ADM3_Dimla,Dimla,,26.1721,88.9725,5055444B48556909875029
ADM3_DinajpurSadar,Dinajpur Sadar,,25.6081,88.6774,5055444B62353958062010
ADM3_Dohar,Dohar,,23.6009,90.1093,5055444B89474781080787
ADM3_Domar,Domar,,26.1586,88.8252,5055444B45421324298866
ADM3_DoubleMooring,Double Mooring,,22.3304,91.8093,5055444B66556337069640
ADM3_Dowarabazar,Dowarabazar,,25.0717,91.5625,5055444B64610175900905
ADM3_Dumki,Dumki,,22.4503,90.3719,5055444B35753624845680
ADM3_Dumuria,Dumuria,,22.8054,89.398,5055444B11044248230769
ADM3_Durgapur_169588,Durgapur,,25.0897,90.6821,5055444B76788625169588
ADM3_Durgapur_796536,Durgapur,,24.4667,88.7601,5055444B93638080796536
ADM3_Fakirhat,Fakirhat,,22.7425,89.6657,5055444B5933683148381
ADM3_Faridganj,Faridganj,,23.1462,90.7609,5055444B71558155368166
ADM3_Faridpur,Faridpur,,24.1606,89.4488,5055444B5426320976059
ADM3_FaridpurSadar,Faridpur Sadar,,23.6048,89.8165,5055444B21946407329202
ADM3_Fatikchhari,Fatikchhari,,22.7563,91.7472,5055444B95801532899797
ADM3_Fenchuganj,Fenchuganj,,24.6938,91.9617,5055444B87277518835017
ADM3_FeniSadar,Feni Sadar,,22.99,91.4159,5055444B40138424940148
ADM3_Fulbari,Fulbari,,25.4701,88.9019,5055444B44901139304438
ADM3_Fulbaria,Fulbaria,,24.5865,90.2546,5055444B78175035306518
ADM3_Fulchhari,Fulchhari,,25.2543,89.6539,5055444B23049188583489
